Group,Spring2019,Fall2019,Spring2020,Fall2020,Spring2021,Fall2021,Spring2022
Black,5,1,0,5,2,0,0
East Asian,3,4,2,1,0,2,1
Ethnoracial - No Response,0,0,2,3,0,1,0
Other:,0,0,1,2,1,1,0
Hispanic/Latinx,3,3,2,2,3,2,0
Middle Eastern,0,1,0,0,0,0,0
Multi-Ethnoracial,3,2,2,3,1,0,1
South Asian,3,7,3,4,4,3,2
White,5,6,2,1,4,6,2
