Group,Spring2019,Fall2019,Spring2020,Fall2020,Spring2021,Fall2021,Spring2022
Advertised in a class,3,3,0,0,5,2,1
Other:,3,2,0,2,1,1,0
Social Media,3,5,3,7,6,6,3
Tabling,5,9,1,1,1,2,2
Through a friend/colleague,15,16,9,14,6,6,4
Through an NSC-hosted event,1,5,2,8,1,4,3
Through NSC's website,5,5,3,6,6,4,1
