Group,FinishedApp,Interviewed,Accepted
Social Media,35,16,6
Through a friend/colleague,48,18,6
Tabling,25,8,2
Through an NSC-hosted event,17,10,4
Other:,6,2,1
Advertised in a class,8,2,2
Through NSC's website,37,15,4
