Group,FinishedApp,Interviewed,Accepted
Biology,31,12,1
Biochemistry,18,8,2
Neuroscience,17,2,1
Computer Science,11,3,1
Astronomy,2,0,0
Public Health,14,8,1
Physics,4,3,1
Chemistry,3,1,1
Human Development & Family Sciences,7,5,1
Medical Laboratory Science,1,0,0
Nutritional Sciences,2,2,1
Mathematics,5,2,1
Other (including majors in other colleges):,1,0,0
Textiles & Apparel,1,0,0
Environmental Science,1,1,0
Dual-Major,12,9,4
