,Biochemistry,Biology,Chemistry,Computer Science,Dual-Major,Human Development & Family Sciences,Mathematics,Medical Laboratory Science,Neuroscience,Nutritional Sciences,Physics,Public Health,Textiles & Apparel
Spring 2019,5,5,1,1,2,0,2,0,5,0,0,1,0
Fall 2019,3,6,1,1,7,1,0,0,3,0,0,2,0
Spring 2020,2,3,2,0,2,0,1,1,3,0,0,0,0
Fall 2020,5,2,1,1,1,1,3,0,3,0,1,3,0
Spring 2021,2,1,1,1,4,1,1,0,1,1,1,1,0
