Group,Spring2019,Fall2019,Spring2020,Fall2020,Spring2021,Fall2021,Spring2022
Freshman,16,15,8,8,6,9,6
Junior,1,1,2,5,1,1,1
Senior,0,1,0,0,1,1,0
Sophomore,5,7,4,8,7,4,3
