Group,Spring2019,Fall2019,Spring2020,Fall2020,Spring2021
Biochemistry,5,3,2,5,2
Biology,5,6,3,2,1
Chemistry,1,1,2,1,1
Computer Science,1,1,0,1,1
Dual-Major,2,7,2,1,4
Human Development & Family Sciences,0,1,0,1,1
Mathematics,2,0,1,3,1
Medical Laboratory Science,0,0,1,0,0
Neuroscience,5,3,3,3,1
Nutritional Sciences,0,0,0,0,1
Physics,0,0,0,1,1
Public Health,1,2,0,3,1
Textiles & Apparel,0,0,0,0,0
