Group,Spring2019,Fall2019,Spring2020,Fall2020,Spring2021
Black,9,1,1,7,5
East Asian,5,9,5,8,8
Ethnoracial - No Response,1,3,5,4,0
Other:,0,0,2,4,2
Hispanic/Latinx,8,8,5,4,6
Middle Eastern,0,1,0,0,0
Multi-Ethnoracial,6,5,6,6,9
South Asian,12,21,11,7,16
White,8,10,6,4,10
