,Advertised in a class,Other:,Social Media,Tabling,Through a friend/colleague,Through an NSC-hosted event,Through NSC's website
Spring 2019,3,3,3,5,15,1,5
Fall 2019,3,2,5,9,16,5,5
Spring 2020,0,0,3,1,9,2,3
Fall 2020,0,2,7,1,14,8,6
Spring 2021,5,1,6,1,6,1,6
