Group,Spring2019,Fall2019,Spring2020,Fall2020,Spring2021
Biochemistry,12,15,7,8,8
Biology,10,12,9,13,12
Chemistry,2,2,2,1,1
Computer Science,1,1,0,2,3
Dual-Major,3,11,7,2,9
Human Development & Family Sciences,0,2,0,2,5
Mathematics,3,1,4,3,2
Medical Laboratory Science,1,0,1,0,0
Neuroscience,10,9,9,3,2
Nutritional Sciences,1,0,0,1,2
Physics,1,0,0,2,3
Public Health,5,5,2,7,8
Textiles & Apparel,0,0,0,0,0
