Group,Spring2019,Fall2019,Spring2020,Fall2020,Spring2021,Fall2021,Spring2022
Freshman,68,85,58,107,71,68,59
Junior,15,12,8,28,13,4,7
Senior,2,1,2,6,2,5,0
Sophomore,24,52,29,77,44,35,30
