Group,FinishedApp,Interviewed,Accepted
Social Media,45,24,6
Through NSC's website,31,12,6
Through a friend/colleague,46,25,6
Advertised in a class,40,17,5
Other:,9,4,2
Tabling,7,3,1
Through an NSC-hosted event,12,3,1
