Group,FinishedApp,Interviewed,Accepted
Tabling,9,3,2
Social Media,45,14,3
Through NSC's website,22,5,1
Advertised in a class,9,2,1
Through a friend/colleague,42,18,4
Through an NSC-hosted event,18,6,3
Other:,5,1,0
