Group,FinishedApp,Interviewed,Accepted
East Asian,18,8,0
White,20,10,4
Ethnoracial - No Response,8,0,0
Hispanic/Latinx,13,6,3
Other:,4,2,1
South Asian,40,16,4
Black,6,5,2
Multi-Ethnoracial,21,9,1
