Group,Spring2019,Fall2019,Spring2020,Fall2020,Spring2021
Advertised in a class,5,10,2,16,40
Other,13,21,4,28,0
Social Media,23,25,26,60,45
Tabling,39,61,20,17,7
Through a friend/colleague,62,74,57,85,46
Through an NSC-hosted event,15,32,15,61,12
Through NSC's website,33,37,25,48,31
