Group,FinishedApp,Interviewed,Accepted
Hispanic/Latinx,15,3,0
South Asian,26,9,2
Ethnoracial - No Response,6,3,0
White,16,6,2
Ethnoracial - Other,7,6,4
Black,7,1,0
East Asian,6,1,1
Multi-Ethnoracial,13,4,1
