Group,Spring2019,Fall2019,Spring2020,Fall2020,Spring2021,Fall2021,Spring2022
Advertised in a class,3,4,1,2,17,2,2
Other:,7,5,2,4,2,2,1
Social Media,10,10,8,4,24,16,14
Tabling,17,25,6,3,3,8,3
Through a friend/colleague,28,35,25,25,25,18,18
Through an NSC-hosted event,5,10,5,11,3,10,6
Through NSC's website,11,15,6,14,12,15,5
