,Black,East Asian,Ethnoracial - No Response,Other:,Hispanic/Latinx,Middle Eastern,Multi-Ethnoracial,South Asian,White
Spring 2019,9,5,1,0,8,0,6,12,8
Fall 2019,1,9,3,0,8,1,5,21,10
Spring 2020,1,5,5,2,5,0,6,11,6
Fall 2020,7,8,4,4,4,0,6,7,4
Spring 2021,5,8,0,2,6,0,9,16,10
