Group,FinishedApp,Interviewed,Accepted
Computer Science,13,3,1
Biochemistry,17,7,2
Mathematics,7,1,0
Biology,32,13,5
Nutritional Sciences,1,1,1
Chemistry,3,0,0
Astronomy,1,0,0
Neuroscience,15,4,2
Other (including majors in other colleges):,2,0,0
Physics,5,2,1
Medical Laboratory Science,1,1,1
Human Development & Family Sciences,2,0,0
Public Health,7,5,1
Environmental Science,1,1,0
Dual-Major,5,4,1
