,Biochemistry,Biology,Chemistry,Computer Science,Dual-Major,Human Development & Family Sciences,Mathematics,Medical Laboratory Science,Neuroscience,Nutritional Sciences,Physics,Public Health,Textiles & Apparel
Spring 2019,32,27,5,6,5,1,3,1,18,1,1,8,1
Fall 2019,37,33,5,5,22,3,7,1,23,1,2,11,0
Spring 2020,18,27,4,3,11,1,7,2,19,0,0,5,0
Fall 2020,42,59,6,14,15,6,9,2,30,5,4,21,2
Spring 2021,18,31,3,11,12,7,5,1,17,2,4,14,1
