Group,Spring2019,Fall2019,Spring2020,Fall2020,Spring2021,Fall2021,Spring2022
Black,9,1,1,7,5,3,1
East Asian,5,9,5,8,8,7,1
Ethnoracial - No Response,1,3,5,4,0,2,3
Other:,0,0,2,4,2,2,1
Hispanic/Latinx,8,8,5,4,6,3,3
Middle Eastern,0,1,0,0,0,0,0
Multi-Ethnoracial,6,5,6,6,9,3,4
South Asian,12,21,11,7,16,13,9
White,8,10,6,4,10,8,6
