Group,Spring2019,Fall2019,Spring2020,Fall2020,Spring2021,Fall2021,Spring2022
Freshman,34,31,23,18,24,25,24
Junior,7,4,5,6,3,1,1
Senior,0,1,0,1,2,3,0
Sophomore,8,22,13,19,27,13,8
