Group,Spring2019,Fall2019,Spring2020,Fall2020,Spring2021,Fall2021,Spring2022
Biochemistry,12,15,7,8,8,7,6
Biology,10,12,9,13,12,13,4
Chemistry,2,2,2,1,1,0,1
Computer Science,1,1,0,2,3,3,5
Dual-Major,3,11,7,2,9,4,3
Human Development & Family Sciences,0,2,0,2,5,0,2
Mathematics,3,1,4,3,2,1,2
Medical Laboratory Science,1,0,1,0,0,1,0
Neuroscience,10,9,9,3,2,4,6
Nutritional Sciences,1,0,0,1,2,1,0
Physics,1,0,0,2,3,2,1
Public Health,5,5,2,7,8,5,3
Textiles & Apparel,0,0,0,0,0,0,0
